NodeID,AcclX,AcclY,AcclZ,Temperature
2,0.09,-0.32,10.64,28.22
1,-2.09,2.17,8.8,25.64
2,-2.09,-4.71,7.98,27.99
1,0.11,3.81,10.56,25.48
2,-1.21,-3.83,8.23,27.82
1,0.74,0.45,10.82,25.29
2,-1.58,-1.97,9.76,27.68
1,-1.05,3.07,9.4,25.14
2,-1.46,-4.18,9.19,27.49
1,2.55,1.26,8.94,25.11
2,-1.8,-3.47,9.63,27.26
1,2.35,2.39,9.5,24.99
2,-1.65,-3.51,9.32,27.02
1,1.01,2.21,8.31,24.94
2,-2.32,-3.86,9.04,26.81
1,3.06,1.75,11.08,24.88
2,-1.07,-1.13,10.59,26.55
1,2.63,-0.04,8.51,24.84
2,-1.29,-1.94,9.09,26.32
1,3.15,0.23,9.7,24.77
2,-2.25,-3.11,9.2,26.17
2,-1.36,-0.76,10.94,26.07
1,3.79,0.37,9.04,24.67
2,-2.23,-2.95,10.11,25.97
1,0.21,3.66,8.64,24.59
2,-1.57,-3.32,9.3,25.87
1,-4.23,3.99,7.55,24.46
2,-3.3,-3.71,8.49,25.82
1,-2,3.71,11.8,24.35
2,0.85,-2.21,8.72,25.6
1,2.43,1.64,8.65,24.27
2,-4.98,-4.99,13.57,25.22
1,-1.52,0.85,11.08,24.2
2,0.47,-2.79,5.03,24.92
1,0.51,-1.01,12.87,24.17
2,-2.68,0.26,17.05,24.64
1,2.96,-0.77,5.08,24
2,-0.06,-4.53,9.38,24.28
1,0.91,1.73,10.14,23.96
2,-2.08,-0.17,11.01,24.18
1,2.66,1.28,7.69,23.89
2,-1.53,-2.01,9.86,24.18
1,2.47,-0.09,9.89,23.79
2,-2.23,-3.22,10.8,24.25
1,-1.42,-9.76,15.68,23.69
2,-2.06,-4.69,9.07,24.19
1,3.35,-0.02,10.94,23.65
2,0.14,-1.1,8.98,24.19
1,4.22,-1.23,15.16,23.62
2,-4.4,-2.4,9.37,24.15
1,1.98,0.53,8.85,23.5
2,-2.37,-5.1,9.5,24.12
1,2.08,0.98,9.48,23.46
2,-1.96,-4.46,9.14,24.1
1,4.31,-1.38,9.82,23.45
2,-3.08,-4.66,10.54,24.07
1,1.26,1.08,8.2,23.47
2,-2.16,-3.38,8.82,24.07
1,-0.64,3.78,9.67,23.64
2,-2.36,-2.97,9.53,24.04
1,-1.49,3.95,8.9,23.57
2,-2.58,-1.44,8.96,24.04
1,-4.33,6.02,7.53,25.29
2,-2.64,-4.02,8.36,24.03
1,-4.84,1.17,10.32,26.01
2,-2.38,-6.09,7.49,24.07
1,-4.11,1.23,8.66,26.43
2,-2.43,-3.24,7.91,24.14
1,0.84,3.85,7.04,26.67
2,-1.13,-3.08,7.64,24.07
1,-1.92,2.69,7.94,26.14
2,-1.08,0.57,4.68,24.02
1,3.66,0.01,9.09,25.72
2,1.48,-5.86,9.53,23.85
1,2.66,4.73,7.67,25.35
2,-2.56,-0.54,12.46,23.69
1,1.12,1.25,9.18,25.07
2,2.53,-3.81,8.62,23.53
1,3.24,1.9,11.73,24.77
2,1.77,-5.99,13.99,23.44
1,0.75,0.39,8.58,24.47
2,0.14,-0.37,5.04,23.32
1,2.96,2.08,6.77,24.28
2,-1.77,-2.55,9.17,23.29
1,3.67,0.2,11.89,24.07
2,-2.06,-1.91,9.31,23.34
1,2.33,1.65,10.07,23.93
2,-2.29,-2.19,11.06,23.31
2,0.24,-3.42,7.26,23.32
1,4.22,1.45,13.41,23.59
2,-2.7,-3.32,9.35,23.26
1,3.56,1.79,8.83,23.52
2,-1.62,-4.23,10.04,23.21
1,3.67,0.79,9.08,23.39
2,-1.45,-4.34,9.92,23.18
1,3.77,-0.96,8.89,23.32
2,-1.53,-3.49,9.2,23.22
1,2.28,1.1,9.76,23.34
2,-1.62,-2.97,9.65,23.3
1,3.08,4.41,8.76,23.36
2,-1.53,-3.2,7.31,23.27
1,2.53,1.19,10.63,23.25
2,-2.09,-2.63,11.64,23.25
1,5.54,3.22,9.04,23.18
2,-0.82,-2.67,8.15,23.25
1,1.21,2.87,6.16,23.19
2,0.72,-2.45,8.94,23.25
1,0.59,-4.56,8.57,23.14
2,-1.66,-2.88,9.64,23.25
1,1.42,-0.35,9.33,23.14
2,-3.1,-2.01,9.22,23.27
1,1.56,0.65,9.62,23.15
2,-2.88,-2.03,9.36,23.26
1,2.04,-0.71,9.71,23.11
2,-2.83,-2.06,9.2,23.29
1,0.65,-1.27,12.81,23.15
2,-2.92,-1.83,9.51,23.33
1,0.81,-0.74,9.13,23.16
2,-2.6,-1.76,9.49,23.38
1,-0.83,-4.88,9.09,23.01
2,-2.55,-1.81,9.31,23.75
1,2.46,3.7,7.3,22.95
2,-2.32,-1.45,9.75,25.46
1,2.31,0.77,9.87,22.89
2,-2.73,-1.82,9.71,26.24
1,1.49,0.21,9.74,22.88
2,-2.68,-1.27,9.48,26.34
1,-0.44,2.36,9.66,22.87
2,-2.56,-1.22,9.46,26
1,-2.45,4.75,10.65,22.9
2,-2.47,-0.95,9.8,25.95
1,3.11,0.12,6.64,22.89
2,-2.42,-0.78,9.8,26.25
1,8.48,0.31,19.35,22.89
2,-1.28,-1.89,8.22,25.91
1,0.15,-7.78,12.88,22.92
2,-2.07,-2.96,10.52,25.47
1,5.27,0.56,8.44,22.99
2,-1.86,-1.67,9.69,25.1
1,2.31,0.65,8.7,22.97
1,1.1,3.31,11.12,22.96
2,-3.35,-3.15,9.66,24.54
1,4.67,-3.11,12.94,22.97
2,-0.81,-3.54,9.31,24.26
1,2.58,-0.16,6.88,22.95
2,-2.74,-1.62,9.55,24.09
1,-0.76,3.35,8,22.98
2,1.22,-3.11,8.07,23.9
1,-2.32,-2.65,6.28,22.89
2,-0.2,-5.6,8.56,23.79
1,-4.51,-0.84,8.52,22.94
2,-0.82,-6.28,6.7,23.72
1,-7.85,-6.24,5.93,22.88
2,-0.6,-5.39,8.51,23.71
1,-8.88,-15.1,-0.01,22.87
2,0.23,-7.39,6.45,23.64
1,-4.87,-8.03,11.53,22.84
2,2.62,-3.99,9.06,23.61
1,-6.08,-9.36,5.13,22.8
2,0.74,-5.99,8.88,23.57
1,-4.5,-6.83,6.97,22.79
2,-0.39,-4.36,8.33,23.53
1,1.74,-8.86,1.5,22.78
2,0.23,-3.58,9.45,23.52
1,0.18,-7.74,5.84,22.75
2,0.82,-3.96,7.87,23.47
1,0.09,-8.39,5.09,22.81
2,-0.14,-4.08,9.31,23.39
1,2,3.68,9.18,22.87
2,-0.69,-5.8,8.72,23.37
1,3.02,2.3,7.06,22.91
2,-0.27,-5.33,8.37,23.34
1,3.5,-0.47,8.4,22.94
2,0.41,-4.4,9.82,23.3
1,0.09,3.68,9,22.96
2,0.12,-6.26,8.01,23.29
1,5,3.88,8.41,22.99
2,-0.02,-6.35,7.85,23.31
1,4.91,3.26,8.48,23.09
2,0.13,-6.11,7.97,23.33
1,3.87,0.81,13.81,23.12
2,0.21,-5.9,8.35,23.38
1,3.48,6.32,7.13,23.19
2,0.14,-5.75,8.46,23.42
1,2.88,6.97,6.66,23.27
2,-0.17,-5.74,8.43,23.44
1,2.82,2.56,9.27,23.38
2,-0.42,-5.63,8.46,23.5
1,-3.47,3.9,6.9,23.39
2,-0.49,-5.72,8.45,23.54
1,0.3,3.21,11.23,23.47
2,-0.44,-5.28,8.53,23.57
1,1.09,2.27,9.69,23.55
2,-0.77,-1.46,10.37,23.58
1,1.23,1.64,9.78,23.52
2,-0.44,-1.46,10.05,23.6
1,0.73,2.26,9.62,23.53
2,0.11,-1.54,9.68,23.59
1,2.9,0.35,9.92,23.52
2,0.13,-1.47,10.06,23.59
1,2.21,1.07,9.69,23.48
2,0.32,-1.89,9.98,23.57
1,-3.27,1.66,9.02,23.41
2,1.21,-1.65,9.52,23.57
1,-2.94,1.26,9.43,23.44
2,-0.29,-1.57,9.93,23.52
1,-3.78,3.71,8.2,23.43
2,2.01,0.2,9.31,23.54
1,-1.31,2.12,9.53,23.44
2,0.79,-9.91,-0.19,23.47
1,1.73,1.35,8.67,23.44
2,4.77,-8.38,4.63,23.33
1,2.09,1.76,9.38,23.44
2,0.57,-9.93,0.31,23.24
1,7.1,3.35,6.61,23.46
2,2.56,-9.71,2.17,23.11
1,0.32,1.38,11.93,23.44
2,-5.54,-7.61,-1.8,23.03
1,3.17,-0.42,10.73,23.4
2,-5.23,-7.82,-2,22.99
1,3.9,1.45,7.72,23.41
2,-6.67,-6.62,-1.45,22.97
1,-4.64,-1.05,8.42,23.42
2,-6.66,-6.74,-0.99,22.95
1,-4.17,-1.55,8.42,23.43
2,-6.03,-7.33,-0.94,22.91
1,-5.1,-1.12,8.17,23.35
2,-5.5,-7.55,-2.12,22.83
1,-4.89,-1.21,8.29,23.2
2,-5.18,-7.69,-2.18,22.82
1,-1.8,1.36,7.88,23.05
2,-4.81,-7.99,-2.28,22.73
1,-0.87,-4.13,13.35,22.93
2,-4.49,-7.77,-3.28,22.7
1,2.36,1.3,8.18,22.89
2,-5.63,-7.44,-2.02,22.71
1,0.93,4.03,9.46,22.83
2,0.87,-4.92,6.73,22.64
1,3.21,2.44,7.49,22.81
2,-1.16,0.99,10.64,22.71
1,2.01,-0.77,14.95,22.83
2,-0.72,0.08,10.11,22.79
1,3.08,0.61,7.62,22.83
2,3.88,-2.99,9.31,22.88
1,-2.15,-4.1,6.92,22.84
2,3.7,-4.45,7.67,22.89
1,1.21,-1.84,9.38,22.86
2,2.08,-0.98,8.72,22.91
1,-0.73,-2.72,9.54,22.88
2,-0.65,-2.57,10.5,22.9
1,-0.67,4.92,8.6,22.85
2,-0.16,-2.8,9.51,22.94
1,-2.91,6.38,7.09,25.34
2,-0.71,-3.44,8.71,22.97
1,-2.3,4.8,7.95,26.11
2,1.77,-2.4,9.9,23
1,-2.14,4.8,8.14,26.56
2,3.57,-4.4,9.63,22.98
1,-2.15,4.44,8.29,26.89
2,10.56,-4.83,1.85,22.98
1,-2.27,4.63,8.26,27.16
2,2.63,-0.51,9.6,22.95
1,-0.27,4.51,8.7,27.27
2,-0.42,1.36,8.84,22.99
1,-0.09,4.18,8.81,27.4
2,0.65,-0.63,8.7,22.88
1,-0.01,4.05,8.94,27.52
1,0.2,4.31,8.81,27.58
1,0.66,4.28,8.81,27.67
2,1.04,-5.28,13.16,22.74
1,-0.52,4.58,8.61,27.72
2,-0.32,-1.24,10.24,22.79
1,-2.13,5.18,7.86,27.84
2,-1.09,-0.17,9.34,22.81
1,-2.24,4.85,8.03,27.93
2,1.05,-1.21,11.3,22.83
1,-2.16,5.01,7.92,28.03
2,1.1,-4.82,8.7,22.82
1,-2.07,4.91,7.98,28.1
2,1.77,-1.9,9.26,22.84
1,-1.78,4.98,8.07,28.13
2,6.31,0.65,8.65,22.96
1,-1.78,4.78,8.15,28.13
2,4.9,0.84,8.43,23.2
1,-2.24,5.06,7.72,28.11
2,5.19,-0.12,9.05,23.33
1,-2.23,5.24,7.72,28.09
2,4.78,-1,7.38,23.43
1,-2.34,5.21,7.83,28.03
2,6.34,-1.19,7.98,23.52
1,-2.29,5.18,7.78,27.93
2,1.52,-3.56,10.63,23.59
1,-1.18,4.58,8.57,27.86
2,0.27,-3.09,9.93,31.91
1,1.72,-2.17,9.66,31.96
2,-0.19,-2.79,9.62,31.95
1,2.15,-2.45,9.53,31.82
2,0.87,-4.02,10.34,31.68
1,5.22,-8.94,0.44,31.41
2,0.45,-2.5,9.76,31.33
1,0.05,-0.03,9.64,31.55
2,0.21,-2.61,10.02,31.13
1,-1.63,1.59,9.62,31.37
2,5.22,1.78,10.38,31.1
1,-0.29,-0.06,10.24,31.19
2,4.51,0.44,9.52,32.12
1,-0.72,0.75,9.82,31.08
2,4.53,1.34,8.73,32.85
1,-0.95,1.06,9.63,31.06
2,2.79,0,9.81,33.34
1,-4.31,0.82,10.51,31.18
2,5.6,1.44,8.27,33.69
1,-0.04,-1.37,9.68,31.25
2,5.81,1.48,8.27,33.96
1,-0.1,-0.96,9.85,32
2,4.38,0.8,9.1,34.01
1,0.28,-0.86,9.83,32.1
2,4.19,0.81,9.42,34.13
1,-0.52,0.76,9.78,32.49
2,3.78,0.9,9.45,34.13
1,-1.87,0.77,9.31,32.69
2,3.94,0.83,9.52,34.17
1,-3.64,0.76,8.76,32.91
2,6.7,-1.09,8.04,33.87
1,-4.57,1.56,8.18,33.04
2,6.06,-0.92,8.05,33.72
1,-3.11,2.96,8.49,33.02
2,5.58,-0.68,8.54,33.74
1,-4.17,2.88,7.76,32.96
2,4.98,-0.54,8.91,33.96
1,-3.77,2.22,7.79,32.91
2,4.67,-0.45,9.06,34.21
1,-2.93,2.05,8.36,32.86
2,4.72,-0.12,9.11,34.38
1,-2.38,1.43,8.48,32.9
2,4.65,-0.09,9.23,34.54
1,-3.24,1.99,8.9,32.95
2,6.47,2.95,7.6,34.52
1,-2.47,2.63,8.56,33.03
2,6.83,3.06,6.86,34.64
1,-3.96,2.52,8.32,33.09
2,5.78,3.36,7.63,34.69
1,-3.74,2.44,8.4,33.14
2,3.44,4.49,8.34,34.42
1,-1.86,1.72,9.26,33.15
2,3.47,4.33,8.57,34.51
1,-3.14,2.19,9.26,33.21
2,3.12,4.14,8.81,34.63
1,-2.77,1.73,9.01,33.21
2,2.54,0.78,9.88,34.61
1,-2.99,1.1,9.34,33.12
2,1.84,0.3,6.15,34.16
1,-2.51,1.23,9.4,33.02
2,4.87,0.55,8.87,34.21
1,2.32,3.39,8.96,33.47
2,2.75,-0.43,9.78,33.64
1,-1.7,0.64,9.47,33.59
2,2.85,-0.49,9.92,33.39
1,-2.17,0.72,9.64,33.75
2,3.33,-0.18,9.76,33.32
1,-1.65,-0.35,9.64,33.86
2,2.74,-0.54,9.74,33.17
1,-0.97,0.36,9.73,33.87
2,3.62,-0.48,9.48,32.88
1,-1.29,0.09,9.71,33.99
2,3.59,-0.7,9.63,33.29
1,-1.6,0.56,9.48,34.21
2,2.97,-0.52,9.83,33.58
1,-1.84,0.98,9.35,34.52
2,3.76,-0.6,9.51,33.84
1,-2,1.1,9.37,34.82
2,3.82,-0.65,9.85,33.92
1,1.21,-0.09,9.49,35.2
2,4.1,-0.1,9.41,34.07
1,3.06,-1.65,8.89,35.75
2,4.48,-0.14,9.26,34.27
1,3.55,-1.56,9.19,36.36
2,0.15,4.15,8.41,34.18
1,4.57,-2.46,8.27,36.82
2,1.24,2.14,10.23,34.47
1,2.4,-2.37,9.65,37.3
2,-0.5,0.78,9.84,34.72
1,1.84,1.65,12.92,37.67
2,0.2,0.36,10.62,34.4
1,1.97,-3.85,8.97,37.87
2,1.2,2.2,9.82,34.43
1,1.42,-0.43,10.27,37.52
2,6.58,0.87,6.09,34.5
1,7.72,-0.04,2.01,37.19
2,2.45,-0.54,9.79,34.47
1,8.23,-2.49,3.02,37.25
1,5.36,-1.61,6.51,37.59
2,2.74,1.4,10.02,34.72
1,5.66,-0.31,6.71,37.43
2,3.23,2.15,9.12,34.8
1,6.17,-0.35,5.89,37.11
2,2.66,1.36,9.62,34.59
1,5.74,-3.72,6.28,37.26
2,1,2.51,9.67,34.25
1,3.24,-2.5,4.27,37.73
2,5.8,-7.11,14.14,33.6
1,2.83,-0.99,12.04,37.92
2,-0.85,-1.15,9.62,32.63
1,3.93,-2.25,9.55,38
2,0.08,-1.28,10.14,32.45
1,4.35,-0.03,8.6,38.44
2,2.38,1.51,7.73,32.58
1,5.86,-4.7,6.64,38.85
1,2.96,-2.83,6.86,39.23
2,5.83,5.01,7.06,34.42
1,4.97,-1.01,9.39,38.49
2,3.22,4.63,6.11,34.66
1,4.92,-2.91,5.14,35.92
2,5.01,3.22,8.21,34.67
1,-7.27,-0.48,13.1,35.14
2,2.81,3.77,7.19,34.56
1,0.87,1.57,9.12,34.14
2,3.54,4.62,7.68,34.59
1,3.11,-2.57,9.89,33.96
2,5.58,4.72,8.05,34.52
1,1.47,4.06,9.55,33.87
2,5.04,3.74,8.48,34.53
1,0.1,1.8,15.19,33.88
2,5.73,4.71,9.48,34.6
1,-2.11,3.64,9.16,33.97
2,3.68,4.08,8.02,34.65
1,-1.28,1.56,10.51,34.06
2,6.25,3.46,8.8,34.78
1,5.64,-2.45,8.02,34.06
2,4.67,3.68,7.22,34.92
1,8.79,2.17,3.59,33.9
2,5.23,4.48,5.47,35.03
1,8.12,2.33,5.04,33.68
2,6.02,4.87,6.89,35.09
1,-0.6,3.11,8.84,33.49
2,8.85,5.39,5.71,35.14
1,0.82,4.34,8.88,33.55
2,5.74,4.21,7.12,35.28
1,0.43,3.3,9.85,33.54
2,7.42,4.63,7.86,35.34
1,0.28,3.46,9.69,33.18
2,7.52,5.05,4.75,35.19
1,2.35,2.24,9.33,32.67
2,5.38,3.12,6.68,35.2
1,0.84,3.38,9.3,32.48
2,7.14,5.01,5.7,35.26
1,2.05,3.42,8.81,32.29
2,6.78,5.43,6.74,35.19
1,1.41,0.69,9.17,32.16
2,6.38,4.34,8.28,35.23
1,1.79,1.77,9.11,31.96
2,8.53,4.25,5.26,35.24
1,-0.89,2.57,6.95,31.84
2,7.59,3.16,6.38,35.19
1,0,1.9,8.67,31.47
2,8.37,3.68,3.11,35.2
1,-1.33,0.99,9.95,31.47
2,8.7,3.9,2.93,35.22
1,5.51,1.88,8.15,31.32
2,9.89,3.23,0.78,34.52
1,-1.17,2.83,8.37,31.02
2,9.88,4.01,3.94,34.67
1,-2.21,0.9,7.67,30.83
2,9.53,3.61,-2.8,34.58
1,-0.86,5.58,8.69,30.72
1,-0.01,5.58,9.14,30.55
2,11.56,2.84,1.23,34.77
1,1.76,5.79,7.04,30.52
2,8.23,3.63,-0.86,34.95
1,0.14,6.38,8.1,30.57
2,8.91,3.62,2.5,35.06
1,-0.6,6.5,6.87,30.66
2,9.73,2.51,1.91,35.2
1,-0.01,6.28,6.37,30.54
2,8.03,2.31,-0.34,35.25
1,-0.75,-5.21,12.42,30.19
2,12.5,2.78,0.82,35.08
1,2.78,-0.01,10.5,29.49
1,-0.9,0.94,9.57,28.62
2,7.45,5.97,5.55,34.75
1,-2.15,-0.7,9.77,28.28
2,9.38,4,2.76,34.78
1,-4.24,-1.37,8.88,28.11
2,8.85,6.25,3.47,34.83
1,-2.01,-0.96,9.52,27.9
2,7.59,6.2,3.78,34.93
1,-2.7,-0.66,11.79,27.66
2,9.08,2.15,2.67,34.92
1,-3.51,0.14,11.86,27.69
2,5.52,3.02,7.45,34.49
1,-1.84,0,7.57,27.82
2,5.57,1.08,7.46,33.93
1,-2.75,-0.74,10.43,27.71
2,5.83,1.22,8.58,33.4
1,0.49,0.02,7.8,27.72
2,3.89,1.22,7.87,32.47
1,-3.06,-1.42,9.43,27.6
1,-3.17,0.55,10.32,27.63
2,4.91,1.42,8.34,30.24
1,-3.21,-0.97,8.01,27.33
2,9.48,-0.16,9.49,29.72
1,-2.88,-0.37,9.83,26.86
2,8.17,3.75,5.76,29.34
1,-2.12,0.92,7.98,26.64
2,5.74,1.66,6.82,29.47
1,-2.47,1.3,12.05,26.64
2,1.82,5.26,8.34,28.84
1,-4.1,0.15,11.62,26.23
2,9.73,3.26,7.07,28.69
1,-3.37,-0.87,10.85,26.04
2,6.71,0.36,5.26,28.75
1,-1.47,0.11,8.92,25.92
2,5.93,4.49,9.04,28.83
1,-1.89,-0.48,7.66,25.93
2,7.68,-1.6,9.79,29.11
1,-3.32,-0.55,9.28,25.93
2,6.67,1.6,7.52,28.99
1,2.56,-0.36,9.56,26.03
2,4.52,-0.09,7.71,28.67
1,0.91,1.92,10.94,27.34
2,7.46,3.04,5.08,28.6
1,-0.82,5.01,8.56,27.94
2,7.1,2.4,5.02,28.59
1,1.3,4.45,7.65,28.42
2,8.21,0.19,8.33,28.89
1,-0.31,1.39,7.99,28.82
2,7.55,1.15,2.94,29.3
1,-2.33,3.76,7.02,29.29
2,7.71,-0.85,6.78,29.77
1,0.6,3.09,9.98,29.68
2,3.28,3.08,7.56,29.89
1,0.41,3.87,7.9,29.7
2,7.43,3.12,7.51,30.13
1,-0.35,3.49,8.89,29.78
2,5.53,3.25,9.41,30.14
1,0.8,1.92,10.22,29.82
2,6.98,1.98,9.53,30.39
1,4.95,1.83,9.49,30.03
2,6.14,3.47,6.69,30.23
1,-4.09,-0.32,9.4,30.36
2,4.6,0.48,7.23,30.24
1,-3.91,-1.34,8.68,30.65
2,9.85,1.77,11.55,30.39
1,-2.14,0.68,9.45,31.08
2,4.1,0.46,8.26,30.4
1,-1.9,-0.78,8.32,31.11
2,9.66,1.72,10.05,30.46
1,-3.29,-1.26,9.31,31.1
2,4.3,4.38,7.58,30.43
1,-1.77,-1.93,10.78,31.59
2,5.08,3.28,9.91,30.57
1,-0.78,-2.19,8.5,31.97
2,5.17,3.26,7.55,30.48
1,-1.77,-2.21,10.26,32.02
2,3.91,3.3,6.86,30.57
1,-1.62,-0.42,9.79,32.06
2,5.48,3.03,6.03,30.78
1,-4.07,-0.3,8.46,31.87
2,5.57,2.63,8.81,30.81
1,-3.36,-0.32,9.2,31.54
2,6.2,2.49,8.9,30.72
1,-4.3,-0.25,8.96,31.19
2,6.68,1.2,10.35,30.67
1,-3.28,-1.18,9.61,30.98
2,8.26,1.55,7.09,30.83
1,0.22,-0.48,9.47,30.33
2,5.81,2.3,7.35,30.65
1,-4.02,-1.05,9.01,29.75
2,4.29,2.55,7.04,30.78
1,-3.46,-1.74,8.26,29.44
2,6.79,-1.46,12.23,30.78
1,-2.78,-0.5,9.36,28.92
2,6.5,-2.37,7.51,30.78
1,-2.89,-1.27,9.18,28.27
2,10.15,-1.57,9.43,30.77
1,-3.45,0.58,7.95,27.91
2,6.12,1.17,7.1,31.06
1,-3.04,-0.94,7.83,27.44
2,5.17,0.92,7.67,30.81
1,-3.08,-0.53,8.76,27.07
2,2.74,3.67,7.6,30.51
1,-1.35,-0.24,7.68,26.8
2,5.27,2.16,9.56,30.37
1,0.6,-1.23,7.02,26.19
2,5.51,4.82,8.05,30.39
1,1.61,0.2,8.52,26.33
2,6.54,3.44,9.43,30.15
1,-1.8,-0.27,8.74,26.42
2,6.46,4.84,5.07,30.1
1,-2.7,0.59,10.4,26.14
2,5.71,5.38,5.85,29.99
1,-1.48,-0.1,10.11,25.7
2,6.49,1.82,5.04,29.73
1,-2.36,1.56,8.51,25.19
2,3.77,1.41,6.44,29.79
1,-5.68,0.52,11.14,25.18
2,7.79,0.53,11.43,29.44
2,3.53,5.23,6.94,29.31
2,3.97,2.59,6.76,28.97
2,6.22,4.2,5.25,29.44
2,5.54,3.7,6.62,29.5
